velocity,ang1,ang2,avg,slg
150.0,17,75,0.5054360397871849,1.5350451075641915
150.0,17,76,0.5054360397871849,1.5350451075641915
150.0,17,77,0.5052023121387283,1.5343352601156068
150.0,17,78,0.5052023121387283,1.5343352601156068
150.0,17,79,0.5052023121387283,1.5343352601156068
150.0,23,40,0.6025316455696202,2.067932489451477
150.0,23,41,0.593171534348005,2.037021801727684
150.0,13,31,0.6000523834468308,1.5110005238344684
150.0,23,42,0.5826645264847512,2.001605136436597
150.0,13,32,0.6010624841892234,1.539590184669871
150.0,18,26,0.6081871345029239,1.5818713450292399
150.0,23,43,0.5745268138801262,1.974763406940063
150.0,13,33,0.6000488639139995,1.5587588565844124
150.0,18,27,0.6142480211081794,1.646437994722955
150.0,23,44,0.56656346749226,1.9473684210526316
150.0,13,34,0.5996200427451912,1.5730230349085728
150.0,18,28,0.623898139079334,1.7125367286973556
150.0,23,45,0.5582635186595583,1.9192688499619193
150.0,13,35,0.5973726665130215,1.5851578704770684
150.0,18,29,0.6320072332730561,1.7766726943942135
150.0,23,46,0.5518796992481203,1.8973684210526316
150.0,18,30,0.635486577181208,1.830536912751678
150.0,13,36,0.594411897251014,1.587652095538531
150.0,23,47,0.5439051500555762,1.8699518340125973
150.0,29,41,0.5015128593040847,1.848714069591528
150.0,18,31,0.6314954383181277,1.8413328044426815
150.0,13,37,0.5902547065337763,1.5818383167220376
150.0,23,48,0.5384333821376281,1.8506588579795022
150.0,18,32,0.6314006024096386,1.8670933734939759
150.0,23,49,0.5333091962346126,1.833454018826937
150.0,13,38,0.5839115351257589,1.571335646140503
150.0,18,33,0.6283977110157367,1.878755364806867
150.0,23,50,0.5279569892473118,1.8150537634408601
150.0,13,39,0.5790260572404955,1.5623665100384452
150.0,18,34,0.6266300617707619,1.8864104323953328
150.0,23,51,0.5249465431218817,1.804704205274412
150.0,13,40,0.5753943217665615,1.5587802313354364
150.0,18,35,0.6222879684418146,1.8905325443786982
150.0,23,52,0.5197600564573042,1.7868736767819338
150.0,13,41,0.5710132890365448,1.5496262458471761
150.0,18,36,0.6173193250557147,1.8844317096466094
150.0,23,53,0.5161177295024527,1.7743517869656622
150.0,13,42,0.5659216731597293,1.5376255895017428
150.0,18,37,0.6109384711000622,1.8691733996270976
150.0,23,54,0.5139470013947002,1.7663877266387726
150.0,13,43,0.561877667140825,1.5279414753098963
150.0,18,38,0.6015082956259427,1.8461538461538463
150.0,23,55,0.5102111457251645,1.7535479404638283
150.0,23,56,0.5082758620689655,1.746896551724138
150.0,18,39,0.5943870014771049,1.8280649926144756
150.0,13,44,0.557858724089354,1.5180116723686858
150.0,18,40,0.5890688259109311,1.8175245806824754
150.0,23,57,0.5054869684499315,1.7373113854595337
150.0,13,45,0.5535821193374576,1.5068848533226902
150.0,23,58,0.5041039671682627,1.7325581395348837
150.0,18,41,0.5828360329639102,1.8005115089514065
150.0,18,42,0.5756983240223463,1.7798882681564245
150.0,23,59,0.5011900714042843,1.722543352601156
150.0,18,43,0.5700883002207505,1.7637969094922736
150.0,18,44,0.5645424836601307,1.747276688453159
150.0,18,45,0.5586968228325255,1.7296715131933225
150.0,18,46,0.554162219850587,1.7158484525080042
150.0,18,47,0.548455241616055,1.6981779772907315
150.0,18,48,0.5445026178010471,1.6858638743455496
150.0,18,49,0.5407792207792208,1.6748051948051947
150.0,18,50,0.5368746776689015,1.662712738525013
150.0,18,51,0.5346687211093991,1.6558808423215203
150.0,18,52,0.5308516063233044,1.6440591534931157
150.0,18,53,0.528158295281583,1.6357179096905123
150.0,18,54,0.5265419615773509,1.6304347826086956
150.0,18,55,0.523761629368871,1.6218254966054815
150.0,18,56,0.5223169508525577,1.6173520561685055
150.0,18,57,0.5202297702297702,1.6108891108891108
150.0,18,58,0.5191924227318045,1.6076769690927217
150.0,18,59,0.5170017374038223,1.6008935219657483
150.0,18,60,0.5158337456704601,1.5962394854032658
150.0,24,25,0.6910994764397905,2.256544502617801
150.0,18,61,0.5146877314243397,1.5926931621821772
150.0,24,26,0.7048346055979644,2.272264631043257
150.0,18,62,0.5130413385826772,1.5875984251968505
150.0,24,27,0.6937716262975778,2.262975778546713
150.0,18,63,0.5120333988212181,1.5844793713163066
150.0,24,28,0.7048275862068966,2.3241379310344827
150.0,30,31,0.58,2.1066666666666665
150.0,18,64,0.5111546947781319,1.5817602353518019
150.0,24,29,0.7094972067039106,2.3664804469273744
150.0,30,32,0.6035087719298246,2.221052631578947
150.0,18,65,0.5109041901494732,1.580985052683166
150.0,24,30,0.7047797563261481,2.3917525773195876
150.0,30,33,0.5929411764705882,2.1811764705882353
150.0,24,31,0.6885382059800664,2.3504983388704317
150.0,18,66,0.5102790014684288,1.5790504160548213
150.0,30,34,0.5911602209944752,2.1565377532228363
150.0,24,32,0.6825989544436146,2.3502613890963406
150.0,18,67,0.5097799511002445,1.5775061124694376
150.0,30,35,0.5782414307004471,2.1236959761549925
150.0,24,33,0.6720757268424611,2.3265720081135903
150.0,30,36,0.5636363636363636,2.068831168831169
150.0,18,68,0.5095307917888563,1.576735092864125
150.0,24,34,0.6656230432060113,2.3074514715090797
150.0,30,37,0.5442739079102715,1.9940968122786304
150.0,18,69,0.5089089577739809,1.5748108371979497
150.0,24,35,0.6550724637681159,2.283478260869565
150.0,30,38,0.5180084745762712,1.9004237288135593
150.0,18,70,0.5089089577739809,1.5748108371979497
150.0,30,39,0.5,1.8362919132149902
150.0,24,36,0.6447368421052632,2.2516447368421053
150.0,18,71,0.5087847730600292,1.5744265495363592
150.0,24,37,0.6328248290373487,2.210941609679116
150.0,18,72,0.5087847730600292,1.5744265495363592
150.0,24,38,0.6161161161161162,2.156156156156156
150.0,18,73,0.5086606489387655,1.574042449377897
150.0,24,39,0.6039651837524178,2.11605415860735
150.0,18,74,0.5085365853658537,1.573658536585366
150.0,24,40,0.595049042503503,2.089210649229332
150.0,18,75,0.5082886396879571,1.5728912725499755
150.0,24,41,0.5849227974568574,2.0544959128065394
150.0,18,76,0.5082886396879571,1.5728912725499755
150.0,24,42,0.5735749005744587,2.015024304021211
150.0,9,35,0.663124533929903,1.5106263982102908
150.0,24,43,0.564802774165583,1.9852622453402688
150.0,18,77,0.5080409356725146,1.5721247563352827
150.0,9,36,0.6595277320153762,1.514003294892916
150.0,24,44,0.5562632696390658,1.9549893842887474
150.0,18,78,0.5080409356725146,1.5721247563352827
150.0,9,37,0.6552346570397112,1.5102888086642599
150.0,24,45,0.5473508552357113,1.9240717563621192
150.0,18,79,0.5080409356725146,1.5721247563352827
150.0,24,46,0.5405183052241875,1.9000411353352529
150.0,9,38,0.6489267340784105,1.5029270888770623
150.0,24,47,0.5319838056680162,1.8700404858299595
150.0,24,48,0.5261685976827807,1.8489812225329605
150.0,24,49,0.520726411369917,1.830240821160679
150.0,19,25,0.6166535742340927,1.584446190102121
150.0,24,50,0.5150331901600937,1.8102303787582976
150.0,19,26,0.6305084745762712,1.6806779661016948
150.0,24,51,0.5118354675979822,1.7989910748932867
150.0,19,27,0.6349397590361445,1.7433734939759036
150.0,24,52,0.5063339731285988,1.779654510556622
150.0,19,28,0.6441615938018815,1.8101826231322635
150.0,24,53,0.5024761904761905,1.7660952380952382
150.0,19,29,0.6514921598381386,1.8735457764289327
150.0,24,54,0.5001894657067071,1.7574838954149299
150.0,19,30,0.6537924616100512,1.9255467659376455
150.0,19,31,0.6482939632545932,1.931758530183727
150.0,14,30,0.5945390487375221,1.5331767469172048
150.0,19,32,0.6472532011565468,1.9549772821148286
150.0,14,31,0.5932825289302851,1.5523567598080723
150.0,19,33,0.6431081608746584,1.962905115189379
150.0,14,32,0.5946166394779772,1.5815660685154975
150.0,19,34,0.6405375139977604,1.967525195968645
150.0,19,35,0.6351977199857499,1.968293551834699
150.0,14,33,0.5937663698271346,1.6005762179151388
150.0,19,36,0.6293874741913282,1.959050240880936
150.0,14,34,0.5934959349593496,1.6145833333333333
150.0,19,37,0.6221924237344955,1.9406637613141133
150.0,14,35,0.5912893700787402,1.6262303149606299
150.0,19,38,0.6116883116883117,1.9136363636363636
150.0,14,36,0.5882776843622388,1.627912563055489
150.0,19,39,0.6038095238095238,1.8926984126984128
150.0,14,37,0.5839622641509434,1.620990566037736
150.0,19,40,0.5978901644430654,1.8799255352156377
150.0,14,38,0.5773576204749827,1.6089462762278073
150.0,19,41,0.591047503045067,1.8605359317904995
150.0,14,39,0.5722713864306784,1.59882005899705
150.0,19,42,0.5832585949177878,1.8373692077727952
150.0,14,40,0.5685267857142857,1.5944196428571429
150.0,19,43,0.5771614045441134,1.8194157568604308
150.0,14,41,0.5639726932393746,1.584232547896939
150.0,19,44,0.571137620017457,1.8009892347977887
150.0,14,42,0.5586701434159062,1.5710560625814862
150.0,19,45,0.5648174762862892,1.7815464213854555
150.0,14,43,0.5544554455445545,1.5604821351700386
150.0,19,46,0.5599202960432679,1.766296612581839
150.0,31,32,0.6040268456375839,2.2550335570469797
150.0,19,47,0.5537725225225225,1.7469031531531531
